id,frag1,frag2,new_smiles
8813,*OCC,*N1CCN(c2ncc(C(=O)OC)cn2)CC1,CCON1CCN(c2ncc(C(=O)OC)cn2)CC1
8814,*CC=C,*CCCN,C=CCCCCN
8815,*c1cnc2[nH]nc(OCCCNC(=O)CC)c2c1,*Cc1nc2cc(C(F)(F)F)ccc2[nH]1,CCC(=O)NCCCOc1n[nH]c2ncc(Cc3nc4cc(C(F)(F)F)ccc4[nH]3)cc12
8816,*c1nccc(Nc2cc(C3CCCC3)[nH]n2)n1,*C(=O)c1nn(C)cc1Cl,Cn1cc(Cl)c(C(=O)c2nccc(Nc3cc(C4CCCC4)[nH]n3)n2)n1
8817,*N[C@@H](CCc1ccccc1)C(=O)NCc1ccc(C)cc1,*C=O,Cc1ccc(CNC(=O)[C@H](CCc2ccccc2)NC=O)cc1
8818,*c1ccc2c(c1)CCC(=O)N2,*c1ccnc(Nc2cccc(Cl)c2)n1,O=C1CCc2cc(-c3ccnc(Nc4cccc(Cl)c4)n3)ccc2N1
8819,*N[C@H](CC)c1ccccc1,*NCC(C)(C)C,CC[C@@H](NNCC(C)(C)C)c1ccccc1
8820,*C(=O)[C@@H](C)N(CCC)S(=O)(=O)c1ccc(F)c(C)c1,*C(CO)CO,CCCN([C@H](C)C(=O)C(CO)CO)S(=O)(=O)c1ccc(F)c(C)c1
8821,*n1ccc(=O)cc1,*C(=O)[C@@H](C)NS(=O)(=O)c1ccc(F)c(C)c1,Cc1cc(S(=O)(=O)N[C@H](C)C(=O)n2ccc(=O)cc2)ccc1F
8822,*N1Cc2ccccc2C1=O,*c1cn2cc(C#N)c(NC(=O)c3c(C(=O)N4CCC4)cnn3C)cc2n1,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1cc2nc(N3Cc4ccccc4C3=O)cn2cc1C#N
8823,*S(=O)(=O)c1cc(C(C)(C)O)co1,*Cc1nc2ccc(Cl)cn2n1,CC(C)(O)c1coc(S(=O)(=O)Cc2nc3ccc(Cl)cn3n2)c1
8824,*C(=O)c1ccc(F)cc1F,*c1ccnc(Nc2cccc(Cl)c2)n1,O=C(c1ccnc(Nc2cccc(Cl)c2)n1)c1ccc(F)cc1F
8825,*C1(C(=O)Nc2cccc(-c3csc(C(N)=[NH2+])c3)c2)CCCCC1,*N1CC[C@@H](N)C1,NC(=[NH2+])c1cc(-c2cccc(NC(=O)C3(N4CC[C@@H](N)C4)CCCCC3)c2)cs1
8826,*C1C[C@@H](O)C[C@H](O)C1,*C(=O)Cc1cnc(-c2ccnc(C)c2)c(C)c1,Cc1cc(-c2ncc(CC(=O)C3C[C@@H](O)C[C@H](O)C3)cc2C)ccn1
8827,*C(=O)c1nc(Cc2ccccc2)n[nH]1,*c1nc(CCc2nc3ccc(Cl)cn3n2)n(C)n1,Cn1nc(C(=O)c2nc(Cc3ccccc3)n[nH]2)nc1CCc1nc2ccc(Cl)cn2n1
8828,*C(=O)CC[C@@H](N)C(=O)[O-],*C(=O)[C@H](C)NC(C)=O,CC(=O)N[C@@H](C)C(=O)C(=O)CC[C@@H](N)C(=O)[O-]
8829,*CCNC(=O)c1cc(Cc2ccc(C)cc2)cc(O)c1O,*Cc1ccc(C)cc1,Cc1ccc(CCCNC(=O)c2cc(Cc3ccc(C)cc3)cc(O)c2O)cc1
