id,frag1,frag2,new_smiles
91,*C=O,*N1CC=CCC1,O=CN1CC=CCC1
92,*c1nn(C(C)C)c2ncnc(N)c12,*CC(=O)N1CCc2ccccc21,CC(C)n1nc(CC(=O)N2CCc3ccccc32)c2c(N)ncnc21
93,*C1COC1,*Cc1ccccc1OC,COc1ccccc1CC1COC1
94,*C(=O)c1cnn2c(O)cc(-c3ccccc3)nc12,*N1CCC(NC(=O)CN)CC1,NCC(=O)NC1CCN(C(=O)c2cnn3c(O)cc(-c4ccccc4)nc23)CC1
95,*C1CNC1,*n1ncc2c(=O)[nH]c([C@@H](C)N3CC(c4ncccn4)C3)nc21,C[C@H](c1nc2c(cnn2C2CNC2)c(=O)[nH]1)N1CC(c2ncccn2)C1
96,*N1CCOCC1,*N1C(=O)Cc2cc(OC)c(OC(C)C)cc2[C@@H]1c1ccc(Cl)cc1,COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(N1CCOCC1)C(=O)C2
97,*OC[C@@H](O)COP(=O)(O)O,*C1CCC[C@]2(C)C([C@H](C)SCC(O)(CC)CC)=CC[C@@H]12,CCC(O)(CC)CS[C@@H](C)C1=CC[C@H]2C(OC[C@@H](O)COP(=O)(O)O)CCC[C@]12C
98,*c1ncc(F)c(-c2cc(F)c3nc(C)n(C(C)C)c3c2)n1,*S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)c2ncc(F)c(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)cc1
99,*NCCC(=O)NCCS,*C(=O)CCN1CCN(C)CC1,CN1CCN(CCC(=O)NCCC(=O)NCCS)CC1
100,*[C@@H]1O[C@@H]2CO[P@](=O)(O)O[C@H]2[C@H]1O,*c1ccnc(N(C)C)n1,CN(C)c1nccc([C@@H]2O[C@@H]3CO[P@](=O)(O)O[C@H]3[C@H]2O)n1
101,*OC,*n1c2c(c3cc(F)cc(S(C)(=O)=O)c31)CCC[C@H]2CC(=O)[O-],COn1c2c(c3cc(F)cc(S(C)(=O)=O)c31)CCC[C@H]2CC(=O)[O-]
102,*C(C)C,*c1ccnc(C(=O)NC)c1,CNC(=O)c1cc(C(C)C)ccn1
103,*Nc1cc(C(F)(F)F)ccc1NC(=O)CN(CC)CC,*CCc1ccc(O)cc1,CCN(CC)CC(=O)Nc1ccc(C(F)(F)F)cc1NCCc1ccc(O)cc1
104,*C1CCOCC1,*C(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,N#CC(=Cc1ccc2c[nH]nc2c1)C(=O)C1CCOCC1
105,*[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1,*C(=O)OC,COC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1
106,*N[C@@H](C(=O)NO)c1ccc(-n2cccn2)cc1,*N1CC(=O)N(CC)C1=O,CCN1C(=O)CN(N[C@@H](C(=O)NO)c2ccc(-n3cccn3)cc2)C1=O
107,*NC(C)C,*c1ccc(CC)cc1,CCc1ccc(NC(C)C)cc1
108,*c1nc(=O)c2c(C)nc(CCC)n2[nH]1,*C1COC1,CCCc1nc(C)c2c(=O)nc(C3COC3)[nH]n12
109,*C(=O)c1ccc2cc3c(nc2c1)CCCC3,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=C(c1ccc2cc3c(nc2c1)CCCC3)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
110,*c1ccc2cc(C(=O)N=C)sc2c1,*C(=O)[C@@H](N)Cc1c[nH]c2ccc(Cl)cc12,C=NC(=O)c1cc2ccc(C(=O)[C@@H](N)Cc3c[nH]c4ccc(Cl)cc34)cc2s1
111,*c1ccc2c(c1F)C(C)(C)C(=O)N2CC1CC1,*c1cn(C2CCOCC2)nc1C,Cc1nn(C2CCOCC2)cc1-c1ccc2c(c1F)C(C)(C)C(=O)N2CC1CC1
