id,frag1,frag2,new_smiles
74,*CC[C@H]1O[C@]1(C)[C@@]1(O)[C@H](OC)C(=O)CC[C@@]1(C)O,*c1cccc(Oc2cc(C)cc(C)c2)n1,CO[C@@H]1C(=O)CC[C@@](C)(O)[C@@]1(O)[C@@]1(C)O[C@@H]1CCc1cccc(Oc2cc(C)cc(C)c2)n1
75,*CC(=O)O,*Nc1cc(Cl)cc(Cl)c1,O=C(O)CNc1cc(Cl)cc(Cl)c1
76,*CCOCCO,*C(=O)CC1(CC(=O)O)CCCC1,O=C(O)CC1(CC(=O)CCOCCO)CCCC1
77,*Nc1ccn2cc(-c3ccccc3)nc2c1,*N1CCC[C@@H](O)C1,O[C@@H]1CCCN(Nc2ccn3cc(-c4ccccc4)nc3c2)C1
78,*CC=C(C)CCC(=O)[O-],*c1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1,CC(=CCc1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1)CCC(=O)[O-]
79,*c1ccc(-c2nc3cnccc3c(C(=O)[O-])c2C)cc1,*N1CCOCC1,Cc1c(-c2ccc(N3CCOCC3)cc2)nc2cnccc2c1C(=O)[O-]
80,*C1=Nc2ccccc2SC1,*C[C@H](O)CO,OC[C@@H](O)CC1=Nc2ccccc2SC1
81,*c1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,*c1cccc2nc(N)nn12,CS(=O)(=O)c1sc(-c2cccc3nc(N)nn23)c2c1[C@H](O)C(F)(F)C2
82,*c1ncccn1,*Nc1ccc2c3c(c(O)n2C)C=C(N2CCN(C)CC2)Nc13,CN1CCN(C2=Cc3c(O)n(C)c4ccc(Nc5ncccn5)c(c34)N2)CC1
83,*Cc1c(C)nn(C)c1C,*c1ccnc2ccccc12,Cc1nn(C)c(C)c1Cc1ccnc2ccccc12
84,*C(=O)c1ccc(-c2ncccn2)cc1,*c1ccc(CNCCc2ncc[nH]2)cc1Cl,O=C(c1ccc(-c2ncccn2)cc1)c1ccc(CNCCc2ncc[nH]2)cc1Cl
85,*c1cccc(F)c1,*c1ccc(C[C@H](NC(C)=CC(=O)c2ccccc2)C(=O)O)cc1,CC(=CC(=O)c1ccccc1)N[C@@H](Cc1ccc(-c2cccc(F)c2)cc1)C(=O)O
86,*c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)[O-])c2C#N)cc1,*c1cccc(Cl)c1,C[C@@H](Nc1c(C#N)c(-c2ccc(-c3cccc(Cl)c3)cc2)nc2ccc(F)cc12)C(=O)[O-]
87,*c1cc2c(N3CCOCC3)ncnc2cc1OC,*CC[C@@H](Cc1ccccc1)NC(=O)[C@H](O)[C@H](C)N,COc1cc2ncnc(N3CCOCC3)c2cc1CC[C@@H](Cc1ccccc1)NC(=O)[C@H](O)[C@H](C)N
88,*S(=O)(=O)c1cccc2cnccc12,*c1ccc2nnc(Cl)n2n1,O=S(=O)(c1ccc2nnc(Cl)n2n1)c1cccc2cnccc12
89,*c1ccc(Cl)c2ccccc12,*[C@@H](CC1CCC(OCCN(C)[C@H]2CCCCN2)CC1)C(O)O,CN(CCOC1CCC(C[C@H](c2ccc(Cl)c3ccccc23)C(O)O)CC1)[C@H]1CCCCN1
90,*CC#N,*c1nc(N)nc(OC)n1,COc1nc(N)nc(CC#N)n1
